"adre_a","artesania","codi_postal","coeducaci","comarca","comunicaci_societat_de_la","cultura_i_arts","demarcaci_territorial","diversitat_funcional","dones_grans","drets_humans_i_cooperaci","drets_sexuals_i_reproductius","ecofeminismes","economia_feminista","email","emprenedoria_i_direcci_d","esports","fax","inserci_laboral_i_ocupaci","interculturalitat_i_migraci","jur_dic_legal","lgtbi","lleure","m_n_rural","municipi","organisme","pensaments_feministes_i","promoci_d_activitats_i","salut","sororitat_i_ajuda_m_tua","tel_fon","tipus","treball_de_cura","treball_sexual","viol_ncies_masclistes","web"
"C/Antigues Escoles d'Espui, s/n","Sí","25515","No","Pallars Jussà","No","No","Lleida","No","No","No","No","No","No","puntairesvallfosca@gmail.com","No","No",,"No","No","No","No","Sí","No","La Torre de Capdella","Associació de Puntaires de la Vall Fosca","No","No","No","No","973663007","Associacions/grup","No","No","No",
"Pl. de l'Assumpció, 27 (Centre Cívic Sant Narcís)","No","17005","Sí","Gironès","No","No","Girona","No","No","No","No","No","No","puntaires@wanadoo.es","No","No",,"No","No","No","No","No","No","Girona","Associació de Puntaires de les Comarques de Girona","No","Sí","No","No","972 23 70 63","Associacions/grup","No","No","No","http://puntaires.entitatsgi.cat/Home/_H4QS29qxa70hrFqiYa9bYhJmvYIWhW4lkw0AK6KM1d0spU96jIqKKw"
"C. Major, 10","Sí","08513","No","Osona","No","No","Barcelona","No","No","No","No","No","No","berenguerasmill@hotmail.com","No","No",,"No","No","No","No","Sí","No","Prats de Lluçanès","Associació de Puntaires de Prats de Lluçanès","No","No","No","No","93 856 03 03","Associacions/grup","No","No","No",
"Pl. Mossèn Albert Vives, 8","Sí","25790","No","Alt Urgell","No","No","Lleida","No","No","No","No","No","No","teresaescolies@hotmail.com","No","No","973 47 01 17","No","No","No","No","Sí","No","Oliana","Associació de Puntaires d'Oliana","No","No","No","No","973 47 00 64","Associacions/grup","No","No","No",
"C. Ferrer i Reginals, s/n","No","25110","No","Segrià","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Alpicat","Associació de Puntaires El Boixet","No","No","No","No","973 73 64 71","Associacions/grup","No","No","No",
"C. Consell, 65, 1-1","No","08530","No","Vallès Oriental","No","No","Barcelona","No","No","No","No","No","No","elsonall.info@gmail.com","No","No",,"No","No","No","No","No","No","La Garriga","Associació de suport a la maternitat i a la criança El Sonall","No","No","No","No","680 177 402","Associacions/grup","Sí","No","No","http://elsonall.ametllaentitats.cat"
"C.Tuset 18, 5è 1a","No","08006","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","plataformalobby@gmail.com; rfernandezsansa@yahoo.es","Sí","No",,"No","No","No","No","No","No","Barcelona","Associació de Suport al Lobby de Dones de Catalunya","No","No","No","No","672 006 949","Associacions/grup","No","No","Sí",
"Pl. de la Constitució, 7","No","25213","No","Segarra","No","No","Lleida","No","No","No","No","No","No","graitauge@gmail.com","No","No",,"No","No","No","No","Sí","No","Ribera d'Ondara","Associació de veïns amics de Sant Isidre. Vocalia de la Dona","No","Sí","No","No","678 778 691","Associacions/grup","No","No","No",
"Pl. Joan XXIII, 1","No","25001","No","Segrià","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Lleida","Associació de Veïns Ascafa dels Magraners. Vocalia de la Dona","No","No","No","No","973 700 697","Associacions/grup","No","No","No","http://grupdeladonamagraners.blogspot.com/"
"C. General Prim, 2 bis, baixos","No","08240","No","Bages","No","No","Barcelona","No","No","No","No","No","No","pcatalunya@lasequia.cat","No","No",,"No","No","No","No","Sí","No","Manresa","Associació de Veïns Barriada Saldes-Plaça Catalunya","No","No","No","No","93 877 24 88","Associacions/grup","No","No","No","http://www.lasequia.org/pcatalunya/,http://www.tscambulancies.com"
"Plaça Gran Miró, 2B","No","08023","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","avvcollvallcarca@hotmail.com;","No","No","93 284 28 80","No","No","No","No","No","No","Barcelona","Associació de Veïns Coll-Vallcarca","No","Sí","No","No","93 284 28 80","Associacions/grup","No","No","No","http://avvbarri-coll.blogspot.com"
"C. Terrassa, 1 (Centre Cívic)","No","25005","No","Segrià","No","No","Lleida","No","No","No","No","No","No","dba@balafia.org","No","No",,"No","No","No","No","No","No","Lleida","Associació de Veïns de Balàfia. Vocalia de la Dona","No","Sí","No","No","973 23 08 17","Associacions/grup","No","No","No","http://www.donabalafiaassc.blogspot.com"
"Partida Plana Gensana, 45","No","25194","No","Segrià","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Lleida","Associació de Veïns de Butsenit. Vocalia de la Dona","No","No","No","No","973 26 18 18","Associacions/grup","No","No","No",
"C. Coll i Pujol, 38, baixos","No","08912","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Badalona","Associació de Veïns de Coll i Pujol. Vocalia de la Dona","No","No","No","No","93 397 50 71","Associacions/grup","No","No","No","https://avcollipujol.wordpress.com/"
"C. Europa, 14, entl. 1a","No","08913","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","veins@daltlavila.cat","No","No",,"No","No","No","No","Sí","No","Badalona","Associació de Veïns de Dalt de la Vila","No","No","No","No","640.011.347","Associacions/grup","No","No","No","http://www.daltlavila.cat/"
"Escola de Freixinet, s/n","No","25290","No","Solsonès","No","No","Lleida","No","No","No","No","No","No","calroure@gmail.com","No","No",,"No","No","No","No","No","No","Clariana de Cardener","Associació de veïns de Freixinet i Rodalies","No","No","No","No","973059931","Associacions/grup","No","No","No","http://afreixinet.com/"
"Partida Sot de Fontanet, 25","No","25197","No","Segrià","No","No","Lleida","No","No","No","No","No","No","nmtorrebella@gmail.com","No","No",,"No","No","No","No","No","No","Lleida","Associació de Veïns de la Partida Copa d'Or i Sot de Fontanet. Vocalia de la Dona","No","No","No","Sí",,"Associacions/grup","No","No","No",
"C. Gran de Llívia, 58","No","25195","No","Segrià","No","No","Lleida","No","No","No","No","No","No","mariajoseconesa@gmail.com; pdalliviavocaliadona@gmail.com","No","No",,"No","No","No","No","Sí","No","Lleida","Associació de Veïns de la Partida de Llívia. Vocal de la Dona","No","No","No","No","973241544","Associacions/grup","No","No","No",
"C. Barcelona, 115, baixos","No","43500","Sí","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Tortosa","Associació de Veïns de Sant Llàtzer - Comissió de la Dona","No","Sí","No","No","977 44 10 72","Associacions/grup","No","No","No",
"C. La Palma, 39","No","25002","No","Segrià","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Lleida","Associació de Veïns del Barri de Sant Llorenç","No","No","No","No","973 28 04 84","Associacions/grup","No","No","No",
"Rec 27, bxos","No","08003","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","sosicascantic@yahoo.es","No","No","93 268 49 52","No","No","No","No","No","No","Barcelona","Associació de Veïns del Casc Antic","No","Sí","No","No","93 319 75 65","Associacions/grup","No","No","No","http://www.sosicascantic.cat"
"Av. de Sant Pere, 3","No","25005","No","Segrià","No","No","Lleida","No","No","No","No","No","No","vocaliasecasantpere@gmail.com","No","No","973 22 37 77","No","No","No","No","Sí","No","Lleida","Associació de Veïns del Secà de Sant Pere. Vocalia de la Dona","No","Sí","No","No","973 22 37 77","Associacions/grup","No","No","No",
"C. La Plana, 10, 1r 2a","No","08032","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","m.gistaug@gmail.com","No","No",,"No","No","No","No","Sí","No","Barcelona","Associació de Veïns d'Horta.Vocalia de la Dona","No","No","No","No","93 407 20 22","Associacions/grup","No","No","No","http://www.avvhorta.org/conselldona.html"
"C. Ausiàs March, 2, baixos","No","08850","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 662 09 40","No","No","No","No","No","No","Gavà","Associació de Veïns i Cultural Barri Ausiàs March","No","Sí","No","No",,"Associacions/grup","No","No","No",
"C. Magatzem, 37, baixos","No","08911","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","avcentre1@gmail.com","No","No",,"No","No","No","No","No","No","Badalona","Associació de Veïns i Veïnes del Centre. Vocalia de la Dona","No","Sí","No","No","93 389 28 84","Associacions/grup","No","No","No",
"C. Riera de Canyadó, 3","No","08911","No","Barcelonès","No","No","Barcelona","No","No","Sí","No","No","No","casagemesbdn@gmail.com","No","No","934643106","No","No","No","No","No","No","Badalona","Associació de Veïns Iris-Sol Casagemas. Vocalia de la Dona","No","Sí","No","No","93 464 31 06","Associacions/grup","No","No","No",
"Pl. Cervantes, 8, bxs.","No","25002","No","Segrià","No","No","Lleida","No","No","No","No","No","No","jaumeprimer08@gmail.com; info@jaumeprimer.com","No","No","973 26 91 09","No","No","No","No","Sí","No","Lleida","Associació de Veïns Jaume I El Conqueridor i Adjacents. Vocalia de la Dona","No","Sí","No","No","973 26 91 09","Associacions/grup","No","No","No","www.jaumeprimer.com"
"Pg. Pius XII, 6, baixos","No","25003","No","Segrià","No","No","Lleida","No","No","No","No","No","No","avpiusxii_germanor@hotmail.com","No","No","973 28 22 29","No","Sí","No","No","Sí","No","Lleida","Associació de Veïns Pius XII - Germanor","No","No","No","No","973 28 22 29","Associacions/grup","No","No","No",
"C/La Font, 1","No","25211","No","Segarra","No","No","Lleida","No","No","No","No","No","No","toni.gracia@hotmail.com","No","No",,"No","No","No","No","No","No","Massoteres","Associació de Veïns Pobles de Massoteres, Palouet i Talteüll - Secció de dones","No","No","No","No","973551426","Associacions/grup","No","No","No",
"Plaça Garcóa Lorca, 4","No","43006","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No","avvpt@hotmail.com","No","No",,"No","No","No","No","No","No","Tarragona","Associació de Veïns Progressista Torreforta","No","Sí","No","No","977 55 07 83","Associacions/grup","No","No","No","http://www.webfacil.tinet.org/avvpt"
"C. València, 415, baixos","No","08013","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","mvila@pangea.org","No","No","93 553 52 78","No","No","No","No","No","No","Barcelona","Associació de Veïns Sagrada Família - Vocalia Dona","No","Sí","No","No","93 459 31 64","Associacions/grup","No","No","No","http://www.avvsagradafamilia.net/"
"C. Ebre, 18, baixos","No","08901","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","avsantjosep@confavc.cat","No","No","93 338 71 98","No","No","No","No","No","No","L'Hospitalet de Llobregat","Associació de Veïns Sant Josep. Vocalia de la dona","No","Sí","No","No","93 337 10 68","Associacions/grup","No","No","No",
"C. Santa Fe, 5","No","08031","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","cctorrellobeta@yahoo.es","No","No",,"No","No","No","No","Sí","No","Barcelona","Associació de Veïns Torre Llobeta. Vocalia de la Dona","No","Sí","No","No","93 358 56 14","Associacions/grup","No","No","No",
"C. Dr. Barraquer, 35, 1r 1a","No","08750","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","pilar_raventos@yahoo.es","No","No","93 668 52 11","No","No","No","No","No","No","Molins de Rei","Associació de Vídues de Molins de Rei","No","No","No","No","93 668 27 33","Associacions/grup","No","No","No",
"C. de les Coques, 1 C","No","43001","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Tarragona","Associació de Vídues de Tarragona","No","No","No","Sí","977 22 80 99","Associacions/grup","No","No","No",
"C. Blasco Garay, 34, baixos","No","08221","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","carmenpama@gmail.com","No","No",,"No","No","No","No","Sí","No","Terrassa","Associació de Vídues de Terrassa","No","No","No","Sí","93 788 32 74","Associacions/grup","No","No","No",
"C. Sant Pere, 9 (Hotel d'Entitats)","No","08500","No","Osona","No","No","Barcelona","No","No","No","No","No","No","carminaalonsodominguez@yahoo.es","No","No","938855703","No","No","No","No","No","No","Vic","Associació de Vídues de Vic i Comarca","No","No","No","Sí","93 889 37 78","Associacions/grup","No","No","No",
"Apartat de Correus 73 (C. Lleida s/n, Casal Cultural)","No","25620","No","Pallars Jussà","No","No","Lleida","No","No","No","No","No","No","vidues@gmail.com","No","No",,"No","No","No","No","No","No","Tremp","Associació de Vídues Verge de Valldeflors del Pallars Jussà","No","No","No","Sí","973 65 13 47","Associacions/grup","No","No","No",
"C. Bailèn, 175 (Parròquia de Corpus Christi)","No","08037","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","assviudesbcn@gmail.com","No","No",,"No","No","No","No","No","No","Barcelona","Associació de Viudes de Barcelona","No","Sí","No","Sí","603 795 188","Associacions/grup","No","No","No",
"Ctra. Provincial, 116, 2n 5a","No","17244","No","Gironès","No","No","Girona","No","No","No","No","No","No","ciutadania@cassa.cat","No","No",,"No","Sí","No","No","No","No","Cassà de la Selva","Associació Debo Yagare","No","No","No","No","972 46 20 77","Associacions/grup","No","No","No",
"C. Jacint Verdaguer, 48","No","08750","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","immaripoll@hotmail.com","No","No",,"No","No","No","No","Sí","No","Molins de Rei","Associació del Casal de la Dona de Molins de Rei","No","Sí","No","No","93 668 25 55","Associacions/grup","No","No","No",
"Av. de Vilanova, 1","No","43376","No","Priorat","No","No","Tarragona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Molar","Associació del Dones del Molar","No","Sí","No","No","622436026","Associacions/grup","No","No","No",
"Rambla Ferran, 32 (COELL)","No","25007","No","Segrià","No","No","Lleida","No","No","No","No","No","No","cescart@cambrescat.es","Sí","No",,"No","No","No","No","No","No","Lleida","Associació d'Emprenedores i Empresàries de lesTerres de Lleida - ADELL","No","No","No","No","973 24 57 54","Associacions/grup","No","No","No",
"C. Bonavista, 13","No","08110","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"Sí","No",,"No","No","No","No","No","No","Montcada i Reixac","Associació d'Empresàries, Directives i Professionals de Montcada i Reixac","No","Sí","No","No","93 504 30 00","Associacions/grup","No","No","No","http://www.asdem.cat"
"C. Nou de Sant Francesc, 15","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","xarxamgd@gmail.com","No","No",,"No","Sí","No","No","No","No","Barcelona","Associació Diàspora Solidària","No","No","No","No","657 430 586","Associacions/grup","No","No","No","http://www.diasporasolidaria.org/"
"C. de la Cort Reial, 7","No","17002","No","Gironès","No","No","Girona","No","No","No","No","No","No","xarxadonesgirona@gmail.com","No","No",,"No","No","No","No","Sí","No","Girona","Associació Dinamitzadora de la Xarxa Dones Girona","No","No","No","No","620 875 781","Associacions/grup","No","No","Sí",
"C. de Ripoll, 25","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","xarxafem@xarxafeminista.org","No","No",,"No","No","No","No","No","No","Barcelona","Associació Dinamitzadora de la Xarxa Feminista","No","Sí","No","No","696723839","Associacions/grup","No","No","Sí","http://www.xarxafeminista.org"
"Rambla Catalunya, 10, pral.","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","coordinacioxidpic.cat@gmail.com","No","No",,"No","No","No","No","No","No","Barcelona","Associació Dinamitzadora de la Xarxa Internacional de Dones Periodistes i Comunicadores de Catalunya-Xarxa Internacional de Periodistes amb Visió de Gènere","Sí","Sí","No","No","93 412 11 11","Associacions/grup","No","No","Sí","http://donesxarxainternacional.blogspot.com/"
"C. Montserrat, 6","No","08275","No","Moianès","No","No","Barcelona","No","No","No","No","No","No","associacioditifet@gmail.com","No","No",,"No","No","No","No","Sí","No","Monistrol de Calders","Associació Dit i Fet, Dones de Monistrol de Calders","No","No","No","No","93 839 91 16","Associacions/grup","No","No","No","http://ditifetmonistrol.consorcidelmoianes.cat"
"Pl. De l'hort dels canonges, 1","No","43203","No","Baix Camp","No","Sí","Tarragona","No","No","Sí","No","No","No",,"No","No",,"No","No","No","No","No","No","Reus","Associació Dolors Vives Rodón (de l'AAVV Pau Casals)","No","No","No","No","656801882","Associacions/grup","No","No","No",
"C. Pau Casals, 16","No","17833","No","Pla de l'Estany","No","No","Girona","No","No","No","No","No","No","donadefontcoberta@gmail.com","No","No",,"No","No","No","No","No","No","Fontcoberta","Associació Don@ de Fontcoberta","No","Sí","No","No",,"Associacions/grup","No","No","No",
"Carrer Sant Antoni Maria Claret, núm. 17, Esc E3 Ps 2 Porta H","No","43002","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No","donaactiva.tarragona@gmail.com","No","No",,"No","No","No","No","Sí","No","Tarragona","Associació Dona Activa Tarragona (DAT)","No","Sí","No","No","626195620","Associacions/grup","No","No","No",
"Pl. Remei Bosch, s/n","No","17600","No","Alt Empordà","No","No","Girona","No","No","No","No","No","No","donadona.altemporda@gmail.com","No","No",,"No","No","No","No","No","No","Figueres","Associació Dona dóna: Grup de Recolzament a l'Alletament Matern de l'Alt Empordà (GRAMAE)","No","Sí","No","No","676 97 33 68","Associacions/grup","Sí","No","No","http://donadona.entitatsfigueres.cat/Home/_H4QS29qxa72hItLX8lOau1h2aUBkRIY4Ovtf9m3_0yUsc4z-UKAtJQ"
"C. Tuset, 18, 5è 1a","No","08006","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 416 07 94","No","Sí","Sí","No","No","No","Barcelona","Associació Dona i Drets","No","No","No","No","93 416 17 22","Associacions/grup","No","No","No","http://www.donaidrets.org"
"C/ La Sentiu, 14","No","25600","No","Noguera","No","Sí","Lleida","No","No","No","No","No","No","donarural@gmail.com","No","No",,"No","No","No","No","No","Sí","Balaguer","Associació Dona Rural","No","Sí","No","No","973446326","Associacions/grup","No","No","No",
"C. de l'Eixample, 141","No","08358","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","donaviva_arenysdemunt@hotmail.com","No","No",,"No","No","No","No","Sí","No","Arenys de Munt","Associació Donaviva","No","Sí","No","No","678 795 625","Associacions/grup","No","No","No","http://donaviva.entitatsarenys.cat"
"C. Veïnat Puigorrat, 5","No","17181","No","Gironès","No","No","Girona","No","No","No","No","No","No","donesaiguaviva@gmail.com;","No","No",,"No","No","No","No","No","No","Aiguaviva","Associació Dones Actives d'Aiguaviva","No","No","No","Sí","972 47 62 53","Associacions/grup","No","No","No",
"Pg. de Pompeu Fabra, 2 (SIAD)","No","17246","No","Baix Empordà","No","No","Girona","No","No","No","No","No","No","africanes2011@hotmail.com","No","No",,"No","Sí","No","No","No","No","Santa Cristina d'Aro","Associació Dones Africanes de Santa Cristina","No","No","No","No","667 332 128","Associacions/grup","No","No","No",
"C. Jaume Balmes, 3","No","08757","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","donesambcoratge@gmail.com","No","No",,"No","No","No","No","Sí","No","Corbera de Llobregat","Associació Dones amb Coratge","No","Sí","No","No","93 688 22 56","Associacions/grup","No","No","No",
"C. Alts Forns, 29 D, 1r 2a","Sí","08038","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","marialuisajorgecastellano@gmail.com","No","No","93 431 78 68","No","No","No","No","Sí","No","Barcelona","Associació Dones Artesanes de Trajes Regionales","No","No","No","No","93 331 86 76","Associacions/grup","No","No","No",
"C. Alfara, 20, baixos","No","43500","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","donesferreries@gmail.com","No","No",,"No","No","No","No","Sí","No","Tortosa","Associació Dones Barri del Roser","No","Sí","No","No","680757571","Associacions/grup","No","No","No",
"Centre Cívic de Castell-Platja d'Aro","No","17250","No","Baix Empordà","No","No","Girona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Castell-Platja d'Aro","Associació Dones d'Aro","No","Sí","No","No",,"Associacions/grup","No","No","No",
"C. de l'Esglèsia, 173. Casa Calella","No","08370","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","donescalella@gmail.com","No","No",,"No","No","No","No","Sí","No","Calella","Associació Dones de Calella","No","No","No","No","675 065 765","Associacions/grup","No","No","No",
"C. de Joaquim Blume, 30, 2n 1a","No","08450","No","Vallès Oriental","No","No","Barcelona","No","No","No","No","No","No","donesdellinars@gmail.com","No","No","93 841 22 02","No","No","No","No","Sí","No","Llinars del Vallès","Associació Dones de Llinars del Vallès","No","No","No","No","670 231 665","Associacions/grup","No","No","No",
"C. Sant Pere, s/n  (Centre Cívic i Cultural)","No","08213","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","donesdepolinya@gmail.com","No","No",,"No","No","No","No","Sí","No","Polinyà","Associació Dones de Polinyà","No","No","No","No","93 713 07 53","Associacions/grup","No","No","No","http://donesdepolinya.blogspot.com/"
"C. Nou de Sant Pere, 36","No","08221","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 783 65 05","No","No","No","No","No","No","Terrassa","Associació Dones del Centre","No","Sí","No","No","93 789 74 08","Associacions/grup","No","No","No",
"Pl. de la Constitució,  s/n","No","25008","No","Segrià","No","No","Lleida","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Lleida","Associació Dones del Clot","No","Sí","No","No","973 22 14 21","Associacions/grup","No","No","No",
"C. Camí Reial, 13, 1r (Hotel d'Entitats)","No","43700","No","Baix Penedès","No","No","Tarragona","No","No","No","No","No","No","canavesefanny@hotmail.com","No","No",,"No","No","No","No","Sí","No","El Vendrell","Associació Dones del Món per la Promoció de la Integració i de la Diversitat Cultural","No","Sí","No","No","657 404 970","Associacions/grup","No","No","No",
"Calàbria, 262","No","08029","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","vocaliadones@gmail.com","No","No",,"No","No","No","No","Sí","No","Barcelona","Associació Dones d'Enllaç","No","Sí","No","No","93 453 28 79","Associacions/grup","No","No","Sí","http://www.donesenllac.org"
"C. Cabanya del Pinter, s/n","No","17861","No","Ripollès","No","No","Girona","No","No","No","No","No","No","associaciodonesogassa@gmail.com","No","No",,"No","No","No","No","Sí","No","Ogassa","Associació Dones d'Ogassa","No","Sí","No","No","972 72 03 55","Associacions/grup","No","No","No",
"C. Gràcia, 2","No","08573","No","Osona","No","No","Barcelona","No","No","No","No","No","No","donesdoris@gmail.com","No","No",,"No","No","No","No","No","No","Orís","Associació Dones d'Orís","No","Sí","No","No","93 859 02 47","Associacions/grup","No","No","No","http://www.donesdoris.gesbisaura.cat"
"Ctra. Santpedor, 153, 2n","No","08242","No","Bages","No","No","Barcelona","No","No","No","No","No","No","ccaannjjoo@hotmail.com","No","No",,"No","No","No","No","Sí","No","Manresa","Associació Dones en Acció de Ctra. Santpedor","No","Sí","No","No","93 874 06 42","Associacions/grup","No","No","No",
"C. Nou, 4","No","43528","No","Baix Ebre","No","Sí","Terres de l'Ebre","No","No","No","No","No","No","natali.andreu@gmail.com","No","No","977 45 50 05","No","No","No","No","Sí","No","Alfara de Carles","Associació Dones en Marxa","No","Sí","No","No","977 45 51 04","Associacions/grup","No","No","No",
"C/ Sant Dionisi, 42","No","17190","No","Gironès","No","No","Girona","No","No","No","No","No","No","belemtougri@gmail.com","No","No",,"No","Sí","No","No","No","No","Salt","Associació Dones Endavant","No","No","No","No",,"Associacions/grup","No","No","No",
"C. de Puicerver, 17, 1r 1a","No","17251","No","Baix Empordà","No","No","Girona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Calonge","Associació Dones entre Cultures","No","No","No","No",,"Associacions/grup","No","No","No",
"C. Mallorca, 6","No","08640","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","donesiprogres@gmail.com","No","No","93 772 98 18","No","No","No","No","Sí","No","Olesa de Montserrat","Associació Dones i Progrés","No","Sí","No","No","93 778 59 38","Associacions/grup","No","No","No","http://doniprog.blogspot.com.es/"
"Carrer Narcís Montoriol, 79, 2n 3a","No","08170","Sí","Vallès Oriental","No","No","Barcelona","No","No","No","No","No","No","adim.dones@hotmail.com","No","No",,"No","No","No","No","No","No","Montornès del Vallès","Associació Dones per la Igualtat Montornès (ADIM)","No","Sí","No","No","618307783","Associacions/grup","No","No","Sí",
"C. Via Europa 98, 2, oficina 2","No","08303","No","Maresme","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 758 82 28","No","No","Sí","No","No","No","Mataró","Associació en Defensa de la Dona Maltractada ADELFA","No","No","No","No","93 798 53 93","Associacions/grup","No","No","Sí",
"C. de la Canal, 6, 1r","No","08241","No","Bages","No","No","Barcelona","No","No","No","No","No","No","gamlilium@gmail.com","No","No",,"No","No","No","No","No","No","Manresa","Associació en Defensa de la Dona Maltractada Gam Lilium","No","No","No","No","666 030 383","Associacions/grup","No","No","Sí","http://associaciolilium.org/es/"
"Rambla del Raval, 5 , 1r 2ª","No","08001","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","genera@genera.org.es","No","No",,"No","No","Sí","No","No","No","Barcelona","Associació en Defensa dels Drets de les Dones en Situació d'Exclusió i Marginació Social (Genera)","No","No","No","No","687 42 63 64","Associacions/grup","No","Sí","Sí","http://www.genera.org.es"
"Rambla  Prim, 87-89","No","08019","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","enxarxa@enxarxa.org","No","No",,"No","Sí","No","No","No","No","Barcelona","Associació Enxarxa. Pla Comunitari Besòs-Maresme","No","Sí","No","No","93 256 49 28","Associacions/grup","No","No","No",
"C. de les Agudes, 69, 5è 5a","No","17006","No","Gironès","No","No","Girona","No","No","No","No","No","No","associacioesfera@gmail.com; yballesteros.ts@gmail.com","No","No",,"No","No","No","No","No","No","Girona","Associació Esfera","No","No","Sí","No","616 262 377","Associacions/grup","No","No","Sí","www.esferagirona.org"
"C. Sant Antoni, 17-19, 1r 1a","No","08110","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","esplaiperaladona@hotmail.com","No","No",,"No","No","No","No","Sí","No","Montcada i Reixac","Associació Esplai per a la Dona","No","Sí","No","No","93 5753382","Associacions/grup","No","No","No","esplaidona.montcada.ca"
"Pg. dels Cirerers, 52-58","No","08906","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","eurodona@gmail.com; mcbarcelonina@gmail.com; eurodona@cornella.net","No","No",,"No","No","No","No","Sí","No","L'Hospitalet de Llobregat","Associació Euro-Dona","No","Sí","No","No","93 375 10 44","Associacions/grup","No","No","No",
"C. de Sant Roc, 11, 1r","No","08401","No","Vallès Oriental","No","Sí","Barcelona","No","No","No","No","No","No","asajabcn@asaja-amfar.com","No","No",,"No","No","No","No","No","No","Granollers","Associació Femenina del Medi Rural - AMFAR Catalunya","No","Sí","No","No","93 879 24 91","Associacions/grup","No","No","No","http://www.asaja-amfar.com/amfarCAT.html"
"Rbla. Prim, 45, 7è 4a","No","08019","No","Barcelonès","Sí","No","Barcelona","No","No","No","No","No","No","femticc@gmail.com","No","No",,"No","No","No","No","No","No","Barcelona","Associació FEMTICC. Dones Actives i TICC","No","No","No","No","93 313 47 60","Associacions/grup","No","No","No","http://femticc.org"
"Avda. Catalunya, 9 local nº 6","No","43580","No","Baix Ebre","No","No","Terres de l'Ebre","No","No","No","No","No","No","annadeo@hotmail.com","No","No",,"No","No","No","No","No","No","Deltebre","Associació Fibromialgia i Fatiga Crònica Deltebre","No","No","Sí","No","609 332 052","Associacions/grup","No","No","No",
"C/ Casanova, 94 2n 1r","No","08011","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","info@filalagulla.org","No","No",,"No","No","No","No","Sí","No","Barcelona","Associació Fil a l'Agulla SCCL","No","No","Sí","No","654 070 358","Associacions/grup","No","No","Sí","http://www.filalagulla.org"
"C. de Muntaner, 244, pral. 1a","No","08021","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","info@forgenderseal.org","No","No",,"No","No","No","No","No","No","Barcelona","Associació Forgender Seal","No","No","No","No","93 4146011","Associacions/grup","No","No","No","http://www.distintiudegenere.cat/"
